user_id,movie_id,rating
drakman,welcome-to-the-south,3.0
drakman,herkules-1997,1.0
drakman,love-death-robots-ice,3.0
drakman,hereafter,2.5
drakman,thats-life-1998,2.0
drakman,shark-tale,2.5
drakman,the-conjuring,2.5
drakman,raiders-of-the-lost-ark,3.5
drakman,all-quiet-on-the-western-front-2022,3.5
drakman,inspector-gadget,2.5
drakman,benedetta,2.0
drakman,the-illusionist,3.5
drakman,a-trip-to-the-moon,3.5
drakman,the-holdovers,4.0
drakman,white-chicks,1.5
drakman,new-world-order-2015,0.5
drakman,the-green-mile,3.5
drakman,meet-the-spartans,0.5
drakman,a-quiet-place-2018,3.5
drakman,boyz-n-the-hood,3.5
drakman,the-big-short,3.5
drakman,killers-of-the-flower-moon,4.5
drakman,fear-and-loathing-in-las-vegas,4.0
drakman,lady-and-the-tramp,3.0
drakman,under-the-sun-2016,4.0
drakman,the-birds,3.5
drakman,sexy-beast,3.5
drakman,tag,1.5
drakman,your-name,2.5
drakman,kung-fu-panda,4.0
drakman,rounders,3.5
drakman,the-queens-gambit,4.0
drakman,the-lord-of-the-rings-the-return-of-the-king,4.5
drakman,cure,4.0
drakman,the-thing,5.0
drakman,american-wedding,2.5
drakman,mission-impossible-iii,3.5
drakman,singin-in-the-rain,3.5
drakman,highlander,3.0
drakman,only-god-forgives,3.5
drakman,spider-man-no-way-home,2.5
drakman,stoker,3.5
drakman,they-cloned-tyrone,3.5
drakman,the-sea-beast-2022,3.5
drakman,iron-man-3,1.5
drakman,the-kings-speech,4.0
drakman,drifting-home,3.0
drakman,brazil,5.0
drakman,koyaanisqatsi,3.5
drakman,love-death-robots-when-the-yogurt-took-over,2.5
drakman,dune-2021,3.5
drakman,kikis-delivery-service,4.0
drakman,hot-fuzz,4.0
drakman,cinderella-the-cat,4.0
drakman,snow-white-and-the-huntsman,2.5
drakman,the-matrix-collection,4.0
drakman,the-bleeding-edge-2018,3.5
drakman,the-maze-runner,3.0
drakman,shutter-island,4.5
drakman,hardcore-henry,3.5
drakman,inside-job-2010,3.5
drakman,peppermint-candy,3.5
drakman,crank-high-voltage,2.5
drakman,the-mist,3.5
drakman,okja,4.5
drakman,ghost-rider,1.5
drakman,dreams,3.0
drakman,beethoven,2.0
drakman,young-sherlock-holmes,2.0
drakman,adolescence-2025,4.5
drakman,south-park-the-pandemic-special,3.0
drakman,willy-wonka-the-chocolate-factory,3.5
drakman,aftersun,4.5
drakman,eternal-sunshine-of-the-spotless-mind,4.0
drakman,hanna,3.0
drakman,looper,3.0
drakman,how-to-train-your-dragon,3.5
drakman,tron-legacy,3.0
drakman,the-curious-case-of-benjamin-button,2.5
drakman,midnight-in-paris,4.0
drakman,rocky-ii,3.5
drakman,green-room,3.5
drakman,great-pretender,3.0
drakman,speed-racer,4.5
drakman,addams-family-values,3.0
drakman,raging-bull,4.0
drakman,saw-iv,2.0
drakman,alive,3.0
drakman,wicked-little-letters,3.5
drakman,repo-men,3.0
drakman,love-death-robots-the-drowned-giant,3.5
drakman,300,4.0
drakman,i-roteo-e-la-magia-dello-specchio,2.0
drakman,dancing-with-the-birds,4.0
drakman,love-death-robots-jibaro-2022,4.5
drakman,the-hours,3.0
drakman,john-wick-chapter-3-parabellum,3.5
drakman,riders-of-justice,3.5
drakman,george-carlin-you-are-all-diseased,4.0
drakman,smoking-causes-coughing,3.5
drakman,stardust-2007,3.5
drakman,ricky-gervais-armageddon,3.0
drakman,rogue-one-a-star-wars-story,4.0
drakman,the-florida-project,4.0
drakman,violent-cop,3.5
drakman,asakusa-kid-2021,3.5
drakman,the-lovely-bones,2.0
drakman,the-new-pope,3.5
drakman,fallen-angels,3.0
drakman,asteroid-city,3.0
drakman,prometheus,1.5
drakman,citizen-kane,4.0
drakman,rampage-1986,0.5
drakman,hidden-figures,3.5
drakman,a-family-2020,3.5
drakman,katanagatari,2.5
drakman,space-pirate-captain-harlock,3.0
drakman,mind-the-gap-2016,3.5
drakman,the-blood-of-wolves,3.5
drakman,neptune-frost,3.0
drakman,fantasia-2000,3.0
drakman,mission-impossible-fallout,3.0
drakman,superman,3.0
